image_id,text_description
000001.jpg,"The lady has pretty high cheekbones. Her hair is brown and straight. She has arched eyebrows, a slightly open mouth and a pointy nose. The female is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has pretty high cheekbones. Her hair is brown and straight. She has arched eyebrows, a slightly open mouth and a pointy nose. The woman seems attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The woman has pretty high cheekbones. Her hair is brown and straight. She has arched eyebrows, a slightly open mouth and a pointy nose. The lady is smiling, seems attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones. Her hair is brown and straight. She has arched eyebrows, a slightly open mouth and a pointy nose. The lady is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones. Her hair is brown and straight. She has arched eyebrows, a slightly open mouth and a pointy nose. The woman is smiling, seems attractive, young and has heavy makeup. She is wearing earrings and lipstick."
000002.jpg,"The lady has pretty high cheekbones. She has brown hair. She has a big nose and a slightly open mouth. She is smiling and looks young. 
The female has pretty high cheekbones. She has brown hair. She has a big nose and a slightly open mouth. She seems young and is smiling. 
The lady has pretty high cheekbones. Her hair is brown. She has a big nose and a slightly open mouth. She is smiling and looks young. 
The female has high cheekbones. Her hair is brown. She has a big nose and a slightly open mouth. The female looks young and is smiling. 
The woman has pretty high cheekbones. She has brown hair. She has a big nose and a slightly open mouth. The female looks young and is smiling."
000003.jpg,"His hair is wavy. He has big lips, narrow eyes and a pointy nose. The gentleman seems young. 
His hair is wavy. He has big lips, narrow eyes and a pointy nose. The gentleman seems young. 
His hair is wavy. He has big lips, narrow eyes and a pointy nose. The gentleman is young. 
His hair is wavy. He has big lips, narrow eyes and a pointy nose. The male is young. 
He has wavy hair. He has big lips, narrow eyes and a pointy nose. The gentleman looks young."
000004.jpg,"Her hair is straight. She has a pointy nose. The woman looks attractive and young. She is wearing earrings, lipstick and a necklace. 
She has straight hair. She has a pointy nose. The lady is attractive and young. She is wearing earrings, lipstick and a necklace. 
Her hair is straight. She has a pointy nose. The woman looks attractive and young. She is wearing earrings, lipstick and a necklace. 
She has straight hair. She has a pointy nose. She seems attractive and young. She is wearing earrings, lipstick and a necklace. 
She has straight hair. She has a pointy nose. The female seems attractive and young. She is wearing earrings, lipstick and a necklace."
000005.jpg,"She has arched eyebrows, big lips, narrow eyes and a pointy nose. The lady seems attractive, young and has heavy makeup. She is wearing lipstick. 
She has arched eyebrows, big lips, narrow eyes and a pointy nose. The woman looks attractive, young and has heavy makeup. She is wearing lipstick. 
She has arched eyebrows, big lips, narrow eyes and a pointy nose. The female seems attractive, young and has heavy makeup. She is wearing lipstick. 
She has arched eyebrows, big lips, narrow eyes and a pointy nose. The lady is attractive, young and has heavy makeup. She is wearing lipstick. 
She has arched eyebrows, big lips, narrow eyes and a pointy nose. The female seems attractive, young and has heavy makeup. She is wearing lipstick."
000006.jpg,"She has brown and wavy hair. She has arched eyebrows, big lips and a slightly open mouth. The lady looks attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
Her hair is brown and wavy. She has arched eyebrows, big lips and a slightly open mouth. She is attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
She has brown and wavy hair. She has arched eyebrows, big lips and a slightly open mouth. The lady looks attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
Her hair is brown and wavy. She has arched eyebrows, big lips and a slightly open mouth. The lady looks attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
She has brown and wavy hair. She has arched eyebrows, big lips and a slightly open mouth. The lady looks attractive, young and has heavy makeup. She is wearing earrings and lipstick."
000007.jpg,"He sports a 5 o' clock shadow. His hair is black and straight. He has big lips, a big nose, bushy eyebrows and a pointy nose. He looks attractive and young. 
He wears a 5 o' clock shadow. He has black and straight hair. He has big lips, a big nose, bushy eyebrows and a pointy nose. The man looks attractive and young. 
He has a 5 o' clock shadow. His hair is black and straight. He has big lips, a big nose, bushy eyebrows and a pointy nose. The man seems attractive and young. 
He has a 5 o' clock shadow. His hair is black and straight. He has big lips, a big nose, bushy eyebrows and a pointy nose. The gentleman looks attractive and young. 
He has a 5 o' clock shadow. He has black and straight hair. He has big lips, a big nose, bushy eyebrows and a pointy nose. The man looks attractive and young."
000008.jpg,"He has a 5 o' clock shadow. His hair is black. He has arched eyebrows, big lips and a pointy nose. He seems young. 
He has a 5 o' clock shadow. He has black hair. He has arched eyebrows, big lips and a pointy nose. He is young. 
He has a 5 o' clock shadow. His hair is black. He has arched eyebrows, big lips and a pointy nose. The gentleman is young. 
He grows a 5 o' clock shadow. His hair is black. He has arched eyebrows, big lips and a pointy nose. The male looks young. 
He has a 5 o' clock shadow. He has black hair. He has arched eyebrows, big lips and a pointy nose. The male looks young."
000009.jpg,"The lady has pretty high cheekbones and an oval face. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The woman seems attractive, young, is smiling, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The woman looks attractive, young, is smiling, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The lady has pretty high cheekbones and an oval face. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The female seems attractive, young, is smiling, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The woman has high cheekbones and an oval face. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The lady seems attractive, young, is smiling, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The lady has pretty high cheekbones and an oval face. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. She is smiling, is attractive, young, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick."
000010.jpg,"The female has high cheekbones. Her hair is wavy. She seems attractive, young and has heavy makeup. She is wearing lipstick. 
The lady has high cheekbones. Her hair is wavy. The female is attractive, young and has heavy makeup. She is wearing lipstick. 
The female has pretty high cheekbones. She has wavy hair. The woman seems attractive, young and has heavy makeup. She is wearing lipstick. 
The lady has pretty high cheekbones. She has wavy hair. She looks attractive, young and has heavy makeup. She is wearing lipstick. 
The female has high cheekbones. She has wavy hair. The woman looks attractive, young and has heavy makeup. She is wearing lipstick."
